Country,Continent,Population,Cases,Pct Cases,Deaths,Pct Deaths
Wallis & Futuna,Australia/Oceania,11502,3550,31,8,0
Saint Pierre & Miquelon,North America,5840,3452,59,2,0
Tuvalu,Australia/Oceania,11396,2943,26,1,0
Saint Helena,Africa,5314,2166,41,0,0
Falkland Islands,South America,3791,1930,51,0,0
Montserrat,North America,4386,1403,32,8,0
Niue,Australia/Oceania,1935,1021,53,0,0
Tokelau,Australia/Oceania,1893,80,4,0,0
Holy See,Europe,518,29,6,0,0
Western Sahara,Africa,587259,10,0,1,0
